Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
mu a I 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, Su a I 1, ku a I 1, C a I 1, u a I 1, z a I 1, T a I 1, p a I 1, s a I 1, a I 1	120725
mu a I 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l a I 2, c a I 2, T a I 2, P a I 2, p a I 2, m a I 2, xu a I 2, x a I 2, Z a I 2, C a I 2, a I 2	237471
mu a I 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m a I 3, p a I 3, k a I 3, x a I 3, c a I 3, Su a I 3, n a I 3, z a I 3, K a I 3, ku a I 3, Z a I 3, Cu a I 3, t a I 3, a I 3	28308
mu a I 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z a I 4, T a I 4, Ku a I 4, t a I 4, m a I 4, xu a I 4, P a I 4, ku a I 4, u a I 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, Su a I 4, n a I 4, l a I 4, Zu a I 4, S a I 4, Z a I 4, Cu a I 4, a I 4	730171
nu a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
nu a I 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, Su a I 1, ku a I 1, C a I 1, u a I 1, z a I 1, T a I 1, p a I 1, s a I 1, a I 1	120725
nu a I 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l a I 2, c a I 2, T a I 2, P a I 2, p a I 2, m a I 2, xu a I 2, x a I 2, Z a I 2, C a I 2, a I 2	237471
nu a I 3									0.000	0	0	0.0		0		0	0.000		15	14	0	1	m a I 3, p a I 3, k a I 3, x a I 3, c a I 3, Su a I 3, n a I 3, z a I 3, K a I 3, nu a n 3, ku a I 3, Z a I 3, Cu a I 3, t a I 3, a I 3	28716
nu a I 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z a I 4, T a I 4, Ku a I 4, t a I 4, m a I 4, xu a I 4, P a I 4, ku a I 4, u a I 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, Su a I 4, n a I 4, l a I 4, Zu a I 4, S a I 4, Z a I 4, Cu a I 4, a I 4	730171
pu a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Pu a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
pu a I 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, Su a I 1, ku a I 1, C a I 1, u a I 1, z a I 1, T a I 1, p a I 1, s a I 1, a I 1	120725
Pu a I 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, Su a I 1, ku a I 1, C a I 1, u a I 1, z a I 1, T a I 1, p a I 1, s a I 1, a I 1	120725
pu a I 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l a I 2, c a I 2, T a I 2, P a I 2, p a I 2, m a I 2, xu a I 2, x a I 2, Z a I 2, C a I 2, a I 2	237471
Pu a I 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l a I 2, c a I 2, T a I 2, P a I 2, p a I 2, m a I 2, xu a I 2, x a I 2, Z a I 2, C a I 2, a I 2	237471
pu a I 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m a I 3, p a I 3, k a I 3, x a I 3, c a I 3, Su a I 3, n a I 3, z a I 3, K a I 3, ku a I 3, Z a I 3, Cu a I 3, t a I 3, a I 3	28308
Pu a I 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m a I 3, p a I 3, k a I 3, x a I 3, c a I 3, Su a I 3, n a I 3, z a I 3, K a I 3, ku a I 3, Z a I 3, Cu a I 3, t a I 3, a I 3	28308
pu a I 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z a I 4, T a I 4, Ku a I 4, t a I 4, m a I 4, xu a I 4, P a I 4, ku a I 4, u a I 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, Su a I 4, n a I 4, l a I 4, Zu a I 4, S a I 4, Z a I 4, Cu a I 4, a I 4	730171
Pu a I 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z a I 4, T a I 4, Ku a I 4, t a I 4, m a I 4, xu a I 4, P a I 4, ku a I 4, u a I 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, Su a I 4, n a I 4, l a I 4, Zu a I 4, S a I 4, Z a I 4, Cu a I 4, a I 4	730171
Qu a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
