Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
Ju a N									0.000	0	0	0.0		0		0	0.000		32	31	0	1	Xi a N, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, a N	905712
Ju e I									0.000	0	0	0.0		0		0	0.000		25	24	0	1	xu e I, m e I, tu e I, k e I, t e I, u e I, p e I, zu e I, S e I, x e I, Su e I, su e I, f e I, l e I, Tu e I, ku e I, n e I, P e I, Zu e I, Cu e I, ru e I, cu e I, z e I, Ku e I, e I	1255734
J u n									0.000	0	0	0.0		0		0	0.000		15	15	0	0	J i n, x u n, t u n, k u n, C u n, l u n, J y n, Z u n, c u n, K u n, T u n, S u n, z u n, s u n, r u n	65816
J u N									0.000	0	0	0.0		0		0	0.000		1	1	0	0	J i N	44044
Ju o									0.000	0	0	0.0		0		0	0.000		15	15	0	0	u o, Su o, ku o, tu o, cu o, su o, mu o, lu o, Tu o, pu o, Pu o, ru o, nu o, Cu o, Ku o	2178158
J y									0.000	0	0	0.0		0		0	0.000		14	8	5	1	Q y, J i, n y, X y, l y, @ y, i y, y y, J y n, J i y, i J y, J y @, y J y, y	287582
Jy E									0.000	0	0	0.0		0		0	0.000		19	16	3	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E, Jy E n, Jy E i, Jy E u	343275
Jy E n									0.000	0	0	0.0		0		0	0.000		17	16	0	1	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E i, Jy E u, Jy E	482698
Jy E N									0.000	0	0	0.0		0		0	0.000		4	3	0	1	Jy E n, Jy E i, Jy E u, Jy E	5029
J y n									0.000	0	0	0.0		0		0	0.000		9	6	1	2	J i n, Q y n, X y n, @ y n, J y @, u y n, J y n i, J y, y n	60666
J y N									0.000	0	0	0.0		0		0	0.000		4	3	0	1	J i N, J y n, J y @, J y	65654
K @									0.000	0	0	0.0		0		0	0.000		24	16	7	1	t @, Z @, k @, n @, C @, x @, K u, S @, r @, T @, K a, s @, l @, z @, c @, y @, K @ i, K @ n, i K @, K @ u, K @ N, u K @, y K @, @	2447796
k @ n									0.000	0	0	0.0		0		0	0.000		21	18	1	2	x @ n, r @ n, Z @ n, m @ n, u @ n, f @ n, k a n, S @ n, p @ n, k u n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, k @ u, k @ N, k @ i n, k @, @ n	884198
k @ N									0.000	0	0	0.0		0		0	0.000		24	22	1	1	n @ N, k @ n, t @ N, Z @ N, C @ N, S @ N, f @ N, k a N, r @ N, m @ N, k o N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ u, u @ N, s @ N, k @ N i, k @	585976
K @ n									0.000	0	0	0.0		0		0	0.000		21	19	0	2	x @ n, r @ n, Z @ n, K a n, K @ i, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K u n, C @ n, z @ n, P @ n, s @ n, K @ u, K @ N, n @ n, K @, @ n	987770
K @ N									0.000	0	0	0.0		0		0	0.000		24	23	0	1	n @ N, K @ i, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, K o N, T @ N, l @ N, K @ n, c @ N, x @ N, p @ N, K a N, K @ u, k @ N, u @ N, s @ N, K @	462927
k @ r									0.000	0	0	0.0		0		0	0.000		10	5	3	2	k @ n, y @ r, k @ u, k @ N, i @ r, k u @ r, k @ @ r, k @ r @, k @, @ r	309569
K @ r									0.000	0	0	0.0		0		0	0.000		8	6	0	2	K @ i, K @ n, K @ u, K @ N, y @ r, i @ r, K @, @ r	198788
k 1									0.000	0	0	0.0		0		0	0.000		10	10	0	0	S 1, k @, Z 1, s 1, c 1, C 1, z 1, k u, r 1, k a	1581947
K 1									0.000	0	0	0.0		0		0	0.000		10	10	0	0	S 1, Z 1, s 1, K @, c 1, C 1, z 1, K u, r 1, K a	1463376
k a									0.000	0	0	0.0		0		0	0.000		34	29	4	1	T a, p a, m a, n a, k @, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, k u, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a I, k a U, k a n, k a N, a	2362661
K a									0.000	0	0	0.0		0		0	0.000		34	29	4	1	T a, p a, m a, n a, t a, K @, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, K u, Zu a, P a, x a, ku a, z a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, K a n, K a I, K a U, K a N, a	2286119
k a I									0.000	0	0	0.0		0		0	0.000		28	26	0	2	z a I, l a I, k e I, T a I, Ku a I, t a I, c a I, x a I, K a I, k a U, m a I, P a I, k a n, k a N, xu a I, p a I, ku a I, u a I, Su a I, s a I, n a I, C a I, Z a I, S a I, Zu a I, Cu a I, a I, k a	1251812
K a I									0.000	0	0	0.0		0		0	0.000		28	25	1	2	z a I, l a I, K a n, T a I, Ku a I, t a I, c a I, k a I, x a I, m a I, P a I, K a U, xu a I, p a I, ku a I, u a I, Su a I, s a I, n a I, C a I, K a N, Z a I, S a I, Zu a I, Cu a I, K @ a I, a I, K a	1212082
k a n									0.000	0	0	0.0		0		0	0.000		43	38	3	2	xu a n, K a n, t a n, k @ n, u a n, k a I, k a U, p a n, Cu a n, T a n, ku a n, s a n, n a n, Z a n, su a n, f a n, k a N, tu a n, S a n, m a n, Zu a n, l a n, k u n, x a n, lu a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, y k a n, k a n y, @ k a n, a n, k a	736813
k a N									0.000	0	0	0.0		0		0	0.000		38	35	1	2	Xi a N, r a N, S a N, li a N, p a N, k a I, Ji a N, t a N, k a U, Z a N, f a N, C a N, Qi a N, u a N, k a n, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, k o N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, k @ N, y k a N, a N, k a	980552
K a n									0.000	0	0	0.0		0		0	0.000		41	38	1	2	xu a n, t a n, u a n, K a I, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, K a U, S a n, m a n, Zu a n, l a n, x a n, lu a n, P a n, K @ n, c a n, K u n, C a n, z a n, r a n, Tu a n, Ku a n, K a N, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, K a n u, a n, K a	545973
K a N									0.000	0	0	0.0		0		0	0.000		38	35	1	2	Xi a N, r a N, S a N, K a n, li a N, p a N, Ji a N, t a N, K a I, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, K a U, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, K o N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, s a N, x a N, K @ N, n a N, K a N i, K a, a N	1054592
k a r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	k a I, k a U, k a n, k a N, k a	92685
K a r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	K a n, K a I, K a U, K a N, K a	145433
k a U									0.000	0	0	0.0		0		0	0.000		36	31	3	2	li a U, x a U, i a U, t a U, Z a U, Ji a U, Xi a U, k a I, k o U, Ti a U, z a U, ti a U, l a U, k a n, P a U, k a N, p a U, S a U, Qi a U, K a U, T a U, C a U, m a U, c a U, mi a U, Pi a U, ni a U, n a U, pi a U, r a U, s a U, y k a U, k a U y, k a U @, a U, k a	2169130
K a U									0.000	0	0	0.0		0		0	0.000		34	31	1	2	li a U, x a U, i a U, t a U, K a n, Z a U, Ji a U, Xi a U, K a I, k a U, Ti a U, z a U, ti a U, l a U, P a U, p a U, S a U, Qi a U, T a U, C a U, m a U, K o U, c a U, mi a U, Pi a U, ni a U, n a U, pi a U, r a U, K a N, s a U, i K a U, K a, a U	2238723
k E									0.000	0	0	0.0		0		0	0.000		20	20	0	0	k @, i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, k u, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E, k a	536738
K E									0.000	0	0	0.0		0		0	0.000		20	20	0	0	i E, pi E, K @, Xi E, Ji E, y E, Qy E, K u, Xy E, K a, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	418167
k e I									0.000	0	0	0.0		0		0	0.000		26	24	1	1	xu e I, m e I, tu e I, t e I, u e I, p e I, zu e I, S e I, x e I, k a I, Su e I, su e I, f e I, l e I, Tu e I, ku e I, n e I, P e I, Zu e I, Cu e I, ru e I, cu e I, z e I, Ku e I, k e I y, e I	1176508
K e I									0.000	0	0	0.0		0		0	0.000		26	25	0	1	xu e I, m e I, tu e I, k e I, t e I, u e I, p e I, zu e I, S e I, x e I, K a I, Su e I, su e I, f e I, l e I, Tu e I, ku e I, n e I, P e I, Zu e I, Cu e I, ru e I, cu e I, z e I, Ku e I, e I	1283571
k E n									0.000	0	0	0.0		0		0	0.000		18	18	0	0	Qi E n, ti E n, k @ n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, k a n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, k u n, Jy E n	568891
K E n									0.000	0	0	0.0		0		0	0.000		18	18	0	0	Qi E n, K a n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, K @ n, Jy E n, K u n	590663
k i									0.000	0	0	0.0		0		0	0.000		20	18	1	1	n i, k @, l i, J i, Q i, p i, t i, X i, T i, m i, P i, k u, i i, u i, a i, @ i, y i, k a, k u i, i	2070749
K i									0.000	0	0	0.0		0		0	0.000		20	18	1	1	n i, l i, J i, K @, Q i, p i, t i, X i, T i, K u, m i, P i, i i, K a, u i, a i, @ i, y i, K @ i, i	2030270
ki @									0.000	0	0	0.0		0		0	0.000		16	15	0	1	t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, s @, l @, z @, c @, y @, @	2408985
Ki @									0.000	0	0	0.0		0		0	0.000		16	15	0	1	t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, s @, l @, z @, c @, y @, @	2408985
ki @ n									0.000	0	0	0.0		0		0	0.000		16	15	0	1	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ n	742707
ki @ N									0.000	0	0	0.0		0		0	0.000		19	19	0	0	n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N	314781
Ki @ n									0.000	0	0	0.0		0		0	0.000		16	15	0	1	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ n	742707
Ki @ N									0.000	0	0	0.0		0		0	0.000		19	19	0	0	n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N	314781
ki @ r									0.000	0	0	0.0		0		0	0.000		3	2	0	1	y @ r, i @ r, @ r	55049
Ki @ r									0.000	0	0	0.0		0		0	0.000		3	2	0	1	y @ r, i @ r, @ r	55049
ki a									0.000	0	0	0.0		0		0	0.000		29	28	0	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, a	2077201
Ki a									0.000	0	0	0.0		0		0	0.000		29	28	0	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, a	2077201
ki a n									0.000	0	0	0.0		0		0	0.000		35	34	0	1	xu a n, K a n, t a n, u a n, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, S a n, m a n, Zu a n, l a n, x a n, lu a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, a n	604740
ki a N									0.000	0	0	0.0		0		0	0.000		32	31	0	1	Xi a N, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, a N	905712
Ki a n									0.000	0	0	0.0		0		0	0.000		35	34	0	1	xu a n, K a n, t a n, u a n, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, S a n, m a n, Zu a n, l a n, x a n, lu a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, a n	604740
Ki a N									0.000	0	0	0.0		0		0	0.000		32	31	0	1	Xi a N, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, a N	905712
ki a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Ki a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ki a U									0.000	0	0	0.0		0		0	0.000		29	28	0	1	li a U, x a U, i a U, t a U, Z a U, Ji a U, Xi a U, k a U, Ti a U, z a U, ti a U, l a U, P a U, p a U, S a U, Qi a U, K a U, T a U, C a U, m a U, c a U, mi a U, Pi a U, ni a U, n a U, pi a U, r a U, s a U, a U	2104970
Ki a U									0.000	0	0	0.0		0		0	0.000		29	28	0	1	li a U, x a U, i a U, t a U, Z a U, Ji a U, Xi a U, k a U, Ti a U, z a U, ti a U, l a U, P a U, p a U, S a U, Qi a U, K a U, T a U, C a U, m a U, c a U, mi a U, Pi a U, ni a U, n a U, pi a U, r a U, s a U, a U	2104970
ki E									0.000	0	0	0.0		0		0	0.000		17	17	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	343528
Ki E									0.000	0	0	0.0		0		0	0.000		17	17	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	343528
ki E n									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E n	482157
Ki E n									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E n	482157
k i n									0.000	0	0	0.0		0		0	0.000		14	12	1	1	k @ n, X i n, J i n, n i n, k a n, k u n, Q i n, P i n, l i n, m i n, p i n, y i n, k @ i n, i n	187119
k i N									0.000	0	0	0.0		0		0	0.000		14	13	0	1	T i N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, k a N, k o N, P i N, n i N, k @ N, i N	313450
K i n									0.000	0	0	0.0		0		0	0.000		13	12	0	1	K a n, X i n, J i n, n i n, Q i n, K @ n, P i n, K u n, l i n, m i n, p i n, y i n, i n	208832
K i N									0.000	0	0	0.0		0		0	0.000		14	13	0	1	T i N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, P i N, K o N, K a N, n i N, K @ N, i N	301398
ki o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ki o N									0.000	0	0	0.0		0		0	0.000		17	17	0	0	Z o N, i o N, c o N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o N, x o N, Xi o N, l o N, r o N, Qi o N, Ji o N	257244
Ki o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Ki o N									0.000	0	0	0.0		0		0	0.000		17	17	0	0	Z o N, i o N, c o N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o N, x o N, Xi o N, l o N, r o N, Qi o N, Ji o N	257244
ki o U									0.000	0	0	0.0		0		0	0.000		25	24	0	1	i o U, Ji o U, t o U, z o U, S o U, k o U, x o U, T o U, Qi o U, li o U, Z o U, C o U, Xi o U, K o U, l o U, ti o U, ni o U, m o U, r o U, s o U, c o U, f o U, mi o U, P o U, o U	1180855
Ki o U									0.000	0	0	0.0		0		0	0.000		25	24	0	1	i o U, Ji o U, t o U, z o U, S o U, k o U, x o U, T o U, Qi o U, li o U, Z o U, C o U, Xi o U, K o U, l o U, ti o U, ni o U, m o U, r o U, s o U, c o U, f o U, mi o U, P o U, o U	1180855
k o n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	k @ n, k o U, k a n, k o N, k u n	117478
k o N									0.000	0	0	0.0		0		0	0.000		24	19	5	0	Z o N, i o N, c o N, k o U, t o N, s o N, n o N, T o N, k a N, z o N, C o N, K o N, x o N, Xi o N, l o N, r o N, Qi o N, k @ N, Ji o N, k o N y, i k o N, k o N u, k o N i, u k o N	292806
K o n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	K a n, K o U, K o N, K @ n, K u n	118093
K o N									0.000	0	0	0.0		0		0	0.000		20	19	1	0	Z o N, i o N, c o N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o U, x o N, Xi o N, l o N, r o N, K a N, Qi o N, K @ N, Ji o N, K o N y	259481
li o n									0.000	0	0	0.0		0		0	0.000		2	2	0	0	li o U, li E n	32298
li o N									0.000	0	0	0.0		0		0	0.000		19	19	0	0	Z o N, li a N, i o N, c o N, t o N, li o U, s o N, n o N, T o N, z o N, C o N, k o N, K o N, x o N, Xi o N, l o N, r o N, Qi o N, Ji o N	328041
li o U									0.000	0	0	0.0		0		0	0.000		29	24	4	1	li a U, i o U, Ji o U, t o U, z o U, S o U, k o U, x o U, T o U, Qi o U, Z o U, C o U, Xi o U, K o U, l o U, ti o U, ni o U, m o U, r o U, s o U, c o U, f o U, mi o U, P o U, i li o U, li o U i, u li o U, y li o U, o U	2114737
l o n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	l a n, l o U, l u n, l o N, l i n	19344
l o N									0.000	0	0	0.0		0		0	0.000		20	20	0	0	Z o N, i o N, c o N, t o N, l i N, s o N, n o N, T o N, z o N, C o N, k o N, l o U, K o N, x o N, Xi o N, l a N, l @ N, r o N, Qi o N, Ji o N	284965
l o U									0.000	0	0	0.0		0		0	0.000		27	25	1	1	i o U, Ji o U, t o U, z o U, S o U, k o U, x o U, T o U, l a U, Qi o U, li o U, Z o U, C o U, Xi o U, K o U, ti o U, ni o U, m o U, r o U, s o U, l o N, c o U, f o U, mi o U, P o U, i l o U, o U	1197044
l u									0.000	0	0	0.0		0		0	0.000		28	23	4	1	p u, l i, C u, Z u, l a, S u, f u, t u, K u, r u, z u, k u, T u, x u, m u, l @, l y, s u, P u, i u, n u, c u, u u, l i u, l u n, i l u, l u y, u	1032081
lu a									0.000	0	0	0.0		0		0	0.000		31	29	1	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, lu o, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, lu a n, a	2087691
lu a I									0.000	0	0	0.0		0		0	0.000		25	24	0	1	z a I, l a I, T a I, Ku a I, t a I, c a I, k a I, x a I, K a I, m a I, P a I, xu a I, p a I, ku a I, u a I, Su a I, lu a n, s a I, n a I, C a I, Z a I, S a I, Zu a I, Cu a I, a I	1120304
lu a n									0.000	0	0	0.0		0		0	0.000		34	33	0	1	xu a n, K a n, t a n, u a n, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, S a n, m a n, Zu a n, l a n, x a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, a n	601261
lu a N									0.000	0	0	0.0		0		0	0.000		33	32	0	1	Xi a N, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, lu a n, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, a N	909191
lu e I									0.000	0	0	0.0		0		0	0.000		25	24	0	1	xu e I, m e I, tu e I, k e I, t e I, u e I, p e I, zu e I, S e I, x e I, Su e I, su e I, f e I, l e I, Tu e I, ku e I, n e I, P e I, Zu e I, Cu e I, ru e I, cu e I, z e I, Ku e I, e I	1255734
l u n									0.000	0	0	0.0		0		0	0.000		21	15	5	1	l a n, x u n, t u n, k u n, C u n, Z u n, c u n, K u n, l i n, T u n, S u n, z u n, s u n, r u n, l u y, u l u n, l u i n, l u n i, i l u n, y l u n, l u	50968
l u N									0.000	0	0	0.0		0		0	0.000		8	6	1	1	l i N, l u n, l a N, l @ N, l o N, l u y, l u i N, l u	42016
lu o									0.000	0	0	0.0		0		0	0.000		15	14	1	0	u o, Su o, ku o, tu o, cu o, su o, mu o, Tu o, pu o, Pu o, ru o, nu o, Cu o, Ku o, lu o u	2171219
l y									0.000	0	0	0.0		0		0	0.000		16	11	4	1	Q y, l i, l a, J y, l u, n y, X y, l @, @ y, i y, y y, l i y, i l y, l @ y, l u y, y	356015
ly E									0.000	0	0	0.0		0		0	0.000		16	16	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ny E, Pi E	343260
ly E n									0.000	0	0	0.0		0		0	0.000		16	15	0	1	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E n, ly E	482425
ly E N									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, ly E	268
l y n									0.000	0	0	0.0		0		0	0.000		10	8	0	2	l a n, l u n, Q y n, J y n, X y n, l i n, @ y n, u y n, y n, l y	25853
l y N									0.000	0	0	0.0		0		0	0.000		5	4	0	1	l i N, l a N, l @ N, l o N, l y	28721
m @									0.000	0	0	0.0		0		0	0.000		21	18	2	1	t @, Z @, m a, k @, n @, K @, C @, x @, m i, S @, r @, T @, m u, s @, l @, z @, c @, y @, m @ n, m @ N, @	2767465
m @ n									0.000	0	0	0.0		0		0	0.000		19	17	1	1	x @ n, r @ n, Z @ n, k @ n, u @ n, f @ n, S @ n, p @ n, m a n, m @ N, K @ n, C @ n, z @ n, P @ n, s @ n, m i n, n @ n, y m @ n, @ n	708620
m @ N									0.000	0	0	0.0		0		0	0.000		22	21	1	0	n @ N, m @ n, t @ N, Z @ N, C @ N, S @ N, m i N, f @ N, m a N, r @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, @ m @ N	383886
m a									0.000	0	0	0.0		0		0	0.000		36	29	6	1	T a, p a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, m i, P a, x a, ku a, z a, K a, m u, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, m a I, m a N, m a n, m a U, i m a, m a i, a	1846807
m a I									0.000	0	0	0.0		0		0	0.000		31	27	2	2	z a I, l a I, m e I, T a I, Ku a I, t a I, c a I, k a I, x a I, K a I, P a I, xu a I, m a N, m a n, p a I, m a U, ku a I, u a I, Su a I, s a I, n a I, C a I, Z a I, S a I, Zu a I, m a i, Cu a I, i m a I, m u a I, m a, a I	1586982
m a n									0.000	0	0	0.0		0		0	0.000		45	39	4	2	xu a n, K a n, t a n, m @ n, u a n, m a I, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, S a n, m a N, Zu a n, l a n, m a U, x a n, lu a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, m i n, zu a n, ru a n, nu a n, Su a n, m a i, i a n, cu a n, m a n i, a m a n, m a a n, m a n y, m a, a n	981557
m a N									0.000	0	0	0.0		0		0	0.000		39	36	1	2	Xi a N, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, m a I, f a N, C a N, Qi a N, u a N, m i N, k a N, Zu a N, Cu a N, m a n, T a N, i a N, m a U, Su a N, m @ N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, m a i, n a N, m a N y, m a, a N	1251524
m a r									0.000	0	0	0.0		0		0	0.000		6	5	0	1	m a I, m a N, m a n, m a U, m a i, m a	341651
m a U									0.000	0	0	0.0		0		0	0.000		37	32	3	2	li a U, x a U, i a U, t a U, Z a U, Ji a U, Xi a U, k a U, m a I, Ti a U, z a U, ti a U, l a U, P a U, p a U, S a U, Qi a U, K a U, m a N, m a n, T a U, C a U, c a U, mi a U, Pi a U, ni a U, n a U, m o U, pi a U, r a U, s a U, m a i, m a U i, y m a U, m a U u, m a, a U	2436983
m E									0.000	0	0	0.0		0		0	0.000		20	20	0	0	m a, i E, pi E, Xi E, Ji E, y E, Qy E, m i, Xy E, m u, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	647199
m e I									0.000	0	0	0.0		0		0	0.000		26	24	1	1	xu e I, tu e I, k e I, t e I, u e I, p e I, zu e I, S e I, x e I, m a I, Su e I, su e I, f e I, l e I, Tu e I, ku e I, n e I, P e I, Zu e I, Cu e I, ru e I, cu e I, z e I, Ku e I, y m e I, e I	1101609
m E n									0.000	0	0	0.0		0		0	0.000		18	18	0	0	Qi E n, ti E n, Ji E n, Ti E n, m @ n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, m a n, Xy E n, mi E n, Jy E n, m i n	540495
m e r									0.000	0	0	0.0		0		0	0.000		1	1	0	0	m e I	179951
m i									0.000	0	0	0.0		0		0	0.000		23	16	6	1	n i, m a, l i, J i, Q i, p i, t i, X i, T i, P i, i i, m u, u i, a i, @ i, y i, m i N, m i n, y m i, m a i, m i y, m i u, i	2180621
mi @									0.000	0	0	0.0		0		0	0.000		17	16	0	1	t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, s @, l @, z @, c @, mi E, y @, @	2409633
mi @ n									0.000	0	0	0.0		0		0	0.000		17	16	0	1	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, mi E n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ n	747544
mi @ N									0.000	0	0	0.0		0		0	0.000		19	19	0	0	n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N	314781
mi @ r									0.000	0	0	0.0		0		0	0.000		3	2	0	1	y @ r, i @ r, @ r	55049
